X,CH1,Start,Increment,
Sequence,Volt,-1.38E-05,2.00E-08,
944,2.60E-02,,0.00001888,2.60E-02
945,1.53E-03,,0.0000189,1.53E-03
946,2.60E-02,,0.00001892,2.60E-02
947,4.59E-03,,0.00001894,4.59E-03
948,1.99E-02,,0.00001896,1.99E-02
949,-4.59E-03,,0.00001898,-4.59E-03
950,1.99E-02,,0.000019,1.99E-02
951,-1.53E-03,,0.00001902,-1.53E-03
952,2.45E-02,,0.00001904,2.45E-02
953,-1.53E-03,,0.00001906,-1.53E-03
954,2.30E-02,,0.00001908,2.30E-02
955,3.06E-03,,0.0000191,3.06E-03
956,1.68E-02,,0.00001912,1.68E-02
957,3.06E-03,,0.00001914,3.06E-03
958,2.30E-02,,0.00001916,2.30E-02
959,4.59E-03,,0.00001918,4.59E-03
960,2.45E-02,,0.0000192,2.45E-02
961,3.06E-03,,0.00001922,3.06E-03
962,2.45E-02,,0.00001924,2.45E-02
963,-3.06E-03,,0.00001926,-3.06E-03
964,2.76E-02,,0.00001928,2.76E-02
965,3.06E-03,,0.0000193,3.06E-03
966,1.84E-02,,0.00001932,1.84E-02
967,4.59E-03,,0.00001934,4.59E-03
968,1.99E-02,,0.00001936,1.99E-02
969,7.66E-03,,0.00001938,7.66E-03
970,2.60E-02,,0.0000194,2.60E-02
971,-6.13E-03,,0.00001942,-6.13E-03
972,1.99E-02,,0.00001944,1.99E-02
973,1.53E-03,,0.00001946,1.53E-03
974,1.84E-02,,0.00001948,1.84E-02
975,6.13E-03,,0.0000195,6.13E-03
976,1.99E-02,,0.00001952,1.99E-02
977,6.13E-03,,0.00001954,6.13E-03
978,2.30E-02,,0.00001956,2.30E-02
979,0.00E+00,,0.00001958,0.00E+00
980,1.53E-02,,0.0000196,1.53E-02
981,1.53E-03,,0.00001962,1.53E-03
982,1.68E-02,,0.00001964,1.68E-02
983,7.66E-03,,0.00001966,7.66E-03
984,1.53E-02,,0.00001968,1.53E-02
985,6.13E-03,,0.0000197,6.13E-03
986,2.60E-02,,0.00001972,2.60E-02
987,4.59E-03,,0.00001974,4.59E-03
988,2.14E-02,,0.00001976,2.14E-02
989,3.06E-03,,0.00001978,3.06E-03
990,2.14E-02,,0.0000198,2.14E-02
991,3.06E-03,,0.00001982,3.06E-03
992,2.45E-02,,0.00001984,2.45E-02
993,6.13E-03,,0.00001986,6.13E-03
994,2.91E-02,,0.00001988,2.91E-02
995,1.53E-03,,0.0000199,1.53E-03
996,2.45E-02,,0.00001992,2.45E-02
997,4.59E-03,,0.00001994,4.59E-03
998,1.99E-02,,0.00001996,1.99E-02
999,0.00E+00,,0.00001998,0.00E+00
1000,2.30E-02,,0.00002,2.30E-02
1001,4.59E-03,,0.00002002,4.59E-03
1002,2.14E-02,,0.00002004,2.14E-02
1003,6.13E-03,,0.00002006,6.13E-03
1004,1.84E-02,,0.00002008,1.84E-02
1005,6.13E-03,,0.0000201,6.13E-03
1006,2.30E-02,,0.00002012,2.30E-02
1007,6.13E-03,,0.00002014,6.13E-03
1008,2.45E-02,,0.00002016,2.45E-02
1009,-1.53E-03,,0.00002018,-1.53E-03
1010,2.60E-02,,0.0000202,2.60E-02
1011,1.53E-03,,0.00002022,1.53E-03
