X,CH1,Start,Increment
392,,0.00000784,1.23E-01
393,,0.00000786,8.12E-02
394,,0.00000788,1.06E-01
395,,0.0000079,7.81E-02
396,,0.00000792,1.19E-01
397,,0.00000794,7.81E-02
398,,0.00000796,1.04E-01
399,,0.00000798,8.12E-02
400,,0.000008,1.07E-01
401,,0.00000802,7.66E-02
402,,0.00000804,9.95E-02
403,,0.00000806,7.81E-02
404,,0.00000808,1.10E-01
405,,0.0000081,8.58E-02
406,,0.00000812,1.06E-01
407,,0.00000814,7.35E-02
408,,0.00000816,1.09E-01
409,,0.00000818,7.66E-02
410,,0.0000082,1.07E-01
411,,0.00000822,7.50E-02
412,,0.00000824,1.06E-01
413,,0.00000826,8.88E-02
414,,0.00000828,1.06E-01
415,,0.0000083,8.12E-02
416,,0.00000832,1.04E-01
417,,0.00000834,7.81E-02
418,,0.00000836,1.07E-01
419,,0.00000838,7.96E-02
420,,0.0000084,1.12E-01
421,,0.00000842,8.12E-02
422,,0.00000844,1.07E-01
423,,0.00000846,8.27E-02
424,,0.00000848,1.03E-01
425,,0.0000085,7.35E-02
426,,0.00000852,1.04E-01
427,,0.00000854,8.42E-02
428,,0.00000856,1.16E-01
429,,0.00000858,7.04E-02
430,,0.0000086,1.04E-01
431,,0.00000862,7.96E-02
432,,0.00000864,1.12E-01
433,,0.00000866,7.66E-02
434,,0.00000868,1.04E-01
435,,0.0000087,7.96E-02
436,,0.00000872,1.13E-01
437,,0.00000874,7.35E-02
438,,0.00000876,1.13E-01
439,,0.00000878,8.27E-02
440,,0.0000088,1.04E-01
441,,0.00000882,8.27E-02
442,,0.00000884,1.12E-01
443,,0.00000886,8.27E-02
444,,0.00000888,1.12E-01
445,,0.0000089,8.27E-02
446,,0.00000892,1.10E-01
447,,0.00000894,8.27E-02
448,,0.00000896,1.12E-01
449,,0.00000898,7.35E-02
450,,0.000009,1.07E-01
451,,0.00000902,8.12E-02
452,,0.00000904,1.07E-01
453,,0.00000906,7.66E-02
454,,0.00000908,1.16E-01
455,,0.0000091,7.35E-02
456,,0.00000912,1.15E-01
457,,0.00000914,7.81E-02
458,,0.00000916,1.07E-01
459,,0.00000918,7.66E-02
460,,0.0000092,1.18E-01
461,,0.00000922,8.58E-02
462,,0.00000924,1.18E-01
463,,0.00000926,8.12E-02
464,,0.00000928,1.06E-01
465,,0.0000093,8.12E-02
466,,0.00000932,1.09E-01
467,,0.00000934,7.50E-02
468,,0.00000936,1.15E-01
469,,0.00000938,7.66E-02
470,,0.0000094,1.01E-01
471,,0.00000942,8.27E-02
472,,0.00000944,1.13E-01
473,,0.00000946,7.35E-02
474,,0.00000948,1.15E-01
475,,0.0000095,7.81E-02
476,,0.00000952,1.12E-01
477,,0.00000954,6.74E-02
478,,0.00000956,1.06E-01
479,,0.00000958,7.66E-02
480,,0.0000096,1.15E-01
481,,0.00000962,7.96E-02
482,,0.00000964,9.80E-02
483,,0.00000966,8.58E-02
484,,0.00000968,1.09E-01
485,,0.0000097,8.73E-02
486,,0.00000972,1.12E-01
487,,0.00000974,8.58E-02
488,,0.00000976,1.13E-01
489,,0.00000978,7.81E-02
490,,0.0000098,1.07E-01
491,,0.00000982,8.42E-02
492,,0.00000984,1.10E-01
493,,0.00000986,7.81E-02
494,,0.00000988,1.18E-01
495,,0.0000099,8.42E-02
496,,0.00000992,1.12E-01
497,,0.00000994,8.27E-02
498,,0.00000996,1.18E-01
499,,0.00000998,8.42E-02
500,,0.00001,1.07E-01
501,,0.00001002,8.42E-02
502,,0.00001004,1.16E-01
503,,0.00001006,8.12E-02
504,,0.00001008,1.10E-01
505,,0.0000101,8.42E-02
506,,0.00001012,1.03E-01
507,,0.00001014,8.27E-02
508,,0.00001016,1.10E-01
509,,0.00001018,9.03E-02
510,,0.0000102,1.09E-01
511,,0.00001022,7.20E-02
512,,0.00001024,1.12E-01
513,,0.00001026,7.81E-02
514,,0.00001028,1.13E-01
515,,0.0000103,7.20E-02
516,,0.00001032,1.12E-01
517,,0.00001034,8.73E-02
518,,0.00001036,1.15E-01
519,,0.00001038,8.27E-02
520,,0.0000104,1.03E-01
521,,0.00001042,8.58E-02
522,,0.00001044,1.12E-01
523,,0.00001046,8.42E-02
524,,0.00001048,1.10E-01
525,,0.0000105,7.66E-02
526,,0.00001052,1.10E-01
527,,0.00001054,8.12E-02
528,,0.00001056,9.80E-02
529,,0.00001058,8.27E-02
530,,0.0000106,1.15E-01
531,,0.00001062,8.73E-02
532,,0.00001064,9.49E-02
533,,0.00001066,8.12E-02
534,,0.00001068,1.10E-01
535,,0.0000107,7.50E-02
536,,0.00001072,1.07E-01
537,,0.00001074,8.42E-02
538,,0.00001076,1.04E-01
539,,0.00001078,7.50E-02
540,,0.0000108,1.09E-01
541,,0.00001082,8.27E-02
542,,0.00001084,1.04E-01
543,,0.00001086,7.04E-02
544,,0.00001088,1.03E-01
545,,0.0000109,8.42E-02
546,,0.00001092,1.03E-01
547,,0.00001094,8.27E-02
548,,0.00001096,1.10E-01
549,,0.00001098,7.81E-02
550,,0.000011,1.07E-01
551,,0.00001102,7.35E-02
552,,0.00001104,1.15E-01
553,,0.00001106,7.20E-02
554,,0.00001108,1.09E-01
555,,0.0000111,6.89E-02
556,,0.00001112,1.06E-01
557,,0.00001114,7.04E-02
558,,0.00001116,1.06E-01
559,,0.00001118,7.81E-02
560,,0.0000112,1.09E-01
561,,0.00001122,7.81E-02
562,,0.00001124,1.04E-01
563,,0.00001126,8.27E-02
564,,0.00001128,1.13E-01
565,,0.0000113,7.50E-02
566,,0.00001132,9.95E-02
567,,0.00001134,7.96E-02
568,,0.00001136,1.10E-01
569,,0.00001138,8.73E-02
570,,0.0000114,1.15E-01
571,,0.00001142,8.42E-02
572,,0.00001144,1.15E-01
573,,0.00001146,9.03E-02
574,,0.00001148,1.16E-01
575,,0.0000115,8.27E-02
576,,0.00001152,1.04E-01
577,,0.00001154,7.50E-02
578,,0.00001156,1.18E-01
579,,0.00001158,8.12E-02
580,,0.0000116,9.80E-02
581,,0.00001162,7.96E-02
582,,0.00001164,1.04E-01
583,,0.00001166,8.27E-02
584,,0.00001168,1.06E-01
585,,0.0000117,7.66E-02
586,,0.00001172,1.06E-01
587,,0.00001174,8.12E-02
588,,0.00001176,1.07E-01
589,,0.00001178,7.96E-02
590,,0.0000118,1.15E-01
591,,0.00001182,8.27E-02
592,,0.00001184,1.06E-01
593,,0.00001186,7.81E-02
594,,0.00001188,9.65E-02
595,,0.0000119,8.12E-02
596,,0.00001192,1.16E-01
597,,0.00001194,6.89E-02
598,,0.00001196,1.07E-01
599,,0.00001198,7.66E-02
600,,0.000012,1.06E-01
601,,0.00001202,7.96E-02
602,,0.00001204,1.10E-01
603,,0.00001206,7.81E-02
604,,0.00001208,1.13E-01
605,,0.0000121,7.81E-02
606,,0.00001212,1.04E-01
607,,0.00001214,8.42E-02
608,,0.00001216,1.09E-01
609,,0.00001218,8.88E-02
610,,0.0000122,1.15E-01
611,,0.00001222,8.58E-02
612,,0.00001224,1.13E-01
613,,0.00001226,7.66E-02
614,,0.00001228,1.09E-01
615,,0.0000123,7.50E-02
616,,0.00001232,1.09E-01
617,,0.00001234,8.12E-02
618,,0.00001236,1.18E-01
619,,0.00001238,8.27E-02
620,,0.0000124,1.09E-01
621,,0.00001242,8.12E-02
622,,0.00001244,1.03E-01
623,,0.00001246,7.66E-02
624,,0.00001248,1.03E-01
625,,0.0000125,7.66E-02
626,,0.00001252,1.04E-01
627,,0.00001254,7.81E-02
628,,0.00001256,1.12E-01
629,,0.00001258,7.96E-02
630,,0.0000126,1.12E-01
631,,0.00001262,8.58E-02
632,,0.00001264,1.09E-01
633,,0.00001266,7.50E-02
634,,0.00001268,1.21E-01
635,,0.0000127,7.96E-02
636,,0.00001272,1.12E-01
637,,0.00001274,7.81E-02
638,,0.00001276,1.16E-01
639,,0.00001278,7.66E-02
640,,0.0000128,1.15E-01
641,,0.00001282,8.42E-02
642,,0.00001284,1.04E-01
